Bib,Zip,Age,Age Group,Gender,First Half,Second Half,Finish,Positive Split,Percent Change
25,93730,30,Under 35,M,3832,3961,7793,129,0.0336638830897703
9,97124,32,Under 35,M,3845,4059,7904,214,0.0556566970091027
20,80922,40,40-44,M,3795,4157,7952,362,0.0953886693017127
46,02136,38,35-39,M,3997,4065,8062,68,0.0170127595696772
51,06119,26,Under 35,M,3979,4198,8177,219,0.0550389545111837
36,90291,23,Under 35,M,3973,4215,8188,242,0.0609111502642839
43,72712,27,Under 35,M,3979,4249,8228,270,0.0678562452877607
37,81101,29,Under 35,M,4069,4257,8326,188,0.0462029982796756
47,02451,41,40-44,M,4122,4268,8390,146,0.0354196991751576
30,14850,33,Under 35,M,4004,4392,8396,388,0.0969030969030969
44,02891,35,35-39,M,4130,4276,8406,146,0.0353510895883777
58,48864,40,40-44,M,4195,4300,8495,105,0.0250297973778307
63,02124,37,35-39,M,4120,4383,8503,263,0.0638349514563106
21,86001,28,Under 35,M,3866,4654,8520,788,0.2038282462493533
38,86001,33,Under 35,M,4144,4383,8527,239,0.0576737451737451
300,13208,40,40-44,M,4272,4263,8535,-9,-0.0021067415730337
33,14580,33,Under 35,M,4139,4425,8564,286,0.069098816139164
121,86001,30,Under 35,F,4354,4211,8565,-143,-0.0328433624253559
121,86001,30,Under 35,F,7333,8798,16131,1465,0.199781808264012
110,80305,44,40-44,F,4355,4246,8601,-109,-0.0250287026406429
110,80305,44,40-44,F,5729,6548,12277,819,0.1429568860185023
251,03038,32,Under 35,M,4323,4306,8629,-17,-0.0039324543141337
119,87111,30,Under 35,F,4354,4290,8644,-64,-0.0146991272393201
119,87111,30,Under 35,F,6649,7283,13932,634,0.0953526846142277
108,19382,28,Under 35,F,4354,4290,8644,-64,-0.0146991272393201
108,19382,28,Under 35,F,5555,6966,12521,1411,0.254005400540054
31,78725,32,Under 35,M,4138,4520,8658,382,0.0923151280811986
556,63124,24,Under 35,M,4311,4360,8671,49,0.0113662723266063
41,03865,32,Under 35,M,4051,4623,8674,572,0.1411997037768452
1671,02132,36,35-39,M,4344,4356,8700,12,0.0027624309392265
237,95003,26,Under 35,M,4334,4381,8715,47,0.0108444854637748
255,44312,28,Under 35,M,4271,4459,8730,188,0.0440177944275345
290,60440,28,Under 35,M,4246,4500,8746,254,0.0598210080075365
407,55414,24,Under 35,M,4280,4470,8750,190,0.0443925233644859
430,07003,32,Under 35,M,4320,4433,8753,113,0.0261574074074074
235,02135,30,Under 35,M,4219,4535,8754,316,0.0748992652287271
245,47304,30,Under 35,M,4351,4412,8763,61,0.014019765571133
229,90704,37,35-39,M,4250,4527,8777,277,0.0651764705882353
268,43017,31,Under 35,M,4285,4502,8787,217,0.0506417736289381
59,80503,41,40-44,M,4281,4535,8816,254,0.0593319317916374
275,75212,31,Under 35,M,4361,4458,8819,97,0.0222426049071313
309,02139,31,Under 35,M,4335,4488,8823,153,0.0352941176470588
250,48324,46,45-49,M,4270,4554,8824,284,0.0665105386416861
273,54481,35,35-39,M,4264,4570,8834,306,0.0717636022514071
117,02155,31,Under 35,F,4353,4481,8834,128,0.0294050080404318
117,02155,31,Under 35,F,6733,7199,13932,466,0.0692113470963909
1116,15632,28,Under 35,M,4355,4487,8842,132,0.0303099885189437
351,78705,27,Under 35,M,4326,4520,8846,194,0.0448451225150254
620,10024,31,Under 35,M,4423,4425,8848,2,0.0004521817770743
434,80634,25,Under 35,M,4392,4461,8853,69,0.0157103825136612
294,02142,29,Under 35,M,4326,4528,8854,202,0.0466944059177068
280,01803,37,35-39,M,4293,4565,8858,272,0.0633589564407174
429,53202,25,Under 35,M,4271,4587,8858,316,0.0739873565909623
1661,95628,34,Under 35,M,4451,4417,8868,-34,-0.0076387328690181
497,94707,30,Under 35,M,4353,4518,8871,165,0.0379048931771192
1946,06355,35,35-39,M,4345,4529,8874,184,0.0423475258918296
260,63143,35,35-39,M,4293,4583,8876,290,0.0675518285581178
296,98199,35,35-39,M,4424,4457,8881,33,0.0074593128390596
307,84097,36,35-39,M,4333,4560,8893,227,0.0523886452804061
391,60601,34,Under 35,M,4429,4472,8901,43,0.0097087378640776
