DATE,UMCSENT_NBD19521101
1952-11-01,100.00000
1952-12-01,.
1953-01-01,.
1953-02-01,105.22042
1953-03-01,.
1953-04-01,.
1953-05-01,.
1953-06-01,.
1953-07-01,.
1953-08-01,93.73550
1953-09-01,.
1953-10-01,.
1953-11-01,93.61949
1953-12-01,.
1954-01-01,.
1954-02-01,95.12761
1954-03-01,.
1954-04-01,.
1954-05-01,96.17169
1954-06-01,.
1954-07-01,.
1954-08-01,.
1954-09-01,.
1954-10-01,.
1954-11-01,100.92807
1954-12-01,.
1955-01-01,.
1955-02-01,111.25290
1955-03-01,.
1955-04-01,.
1955-05-01,114.96520
1955-06-01,.
1955-07-01,.
1955-08-01,.
1955-09-01,.
1955-10-01,.
1955-11-01,115.66125
1955-12-01,.
1956-01-01,.
1956-02-01,.
1956-03-01,.
1956-04-01,.
1956-05-01,113.92111
1956-06-01,.
1956-07-01,.
1956-08-01,115.89327
1956-09-01,.
1956-10-01,.
1956-11-01,116.24130
1956-12-01,.
1957-01-01,.
1957-02-01,.
1957-03-01,.
1957-04-01,.
1957-05-01,107.77262
1957-06-01,.
1957-07-01,.
1957-08-01,.
1957-09-01,.
1957-10-01,.
1957-11-01,97.09977
1957-12-01,.
1958-01-01,.
1958-02-01,91.06729
1958-03-01,.
1958-04-01,.
1958-05-01,93.85151
1958-06-01,.
1958-07-01,.
1958-08-01,.
1958-09-01,.
1958-10-01,.
1958-11-01,105.33643
1958-12-01,.
1959-01-01,.
1959-02-01,.
1959-03-01,.
1959-04-01,.
1959-05-01,110.55684
1959-06-01,.
1959-07-01,.
1959-08-01,.
1959-09-01,.
1959-10-01,.
1959-11-01,108.81671
1959-12-01,.
1960-01-01,.
1960-02-01,116.00928
1960-03-01,.
1960-04-01,.
1960-05-01,108.23666
1960-06-01,.
1960-07-01,.
1960-08-01,112.76102
1960-09-01,.
1960-10-01,.
1960-11-01,104.52436
1960-12-01,.
1961-01-01,.
1961-02-01,106.26450
1961-03-01,.
1961-04-01,.
1961-05-01,107.30858
1961-06-01,.
1961-07-01,.
1961-08-01,115.08121
1961-09-01,.
1961-10-01,.
1961-11-01,107.88863
1961-12-01,.
1962-01-01,.
1962-02-01,115.89327
1962-03-01,.
1962-04-01,.
1962-05-01,110.67285
1962-06-01,.
1962-07-01,.
1962-08-01,106.26450
1962-09-01,.
1962-10-01,.
1962-11-01,110.20882
1962-12-01,.
1963-01-01,.
1963-02-01,114.15313
1963-03-01,.
1963-04-01,.
1963-05-01,106.38051
1963-06-01,.
1963-07-01,.
1963-08-01,111.83295
1963-09-01,.
1963-10-01,.
1963-11-01,109.51276
1963-12-01,.
1964-01-01,.
1964-02-01,115.42923
1964-03-01,.
1964-04-01,.
1964-05-01,114.26914
1964-06-01,.
1964-07-01,.
1964-08-01,116.70534
1964-09-01,.
1964-10-01,.
1964-11-01,115.89327
1964-12-01,.
1965-01-01,.
1965-02-01,118.32947
1965-03-01,.
1965-04-01,.
1965-05-01,122.27378
1965-06-01,.
1965-07-01,.
1965-08-01,119.95360
1965-09-01,.
1965-10-01,.
1965-11-01,119.37355
1965-12-01,.
1966-01-01,.
1966-02-01,116.00928
1966-03-01,.
1966-04-01,.
1966-05-01,111.02088
1966-06-01,.
1966-07-01,.
1966-08-01,105.80046
1966-09-01,.
1966-10-01,.
1966-11-01,102.43619
1966-12-01,.
1967-01-01,.
1967-02-01,109.16473
1967-03-01,.
1967-04-01,.
1967-05-01,111.25290
1967-06-01,.
1967-07-01,.
1967-08-01,112.52900
1967-09-01,.
1967-10-01,.
1967-11-01,107.77262
1967-12-01,.
1968-01-01,.
1968-02-01,112.76102
1968-03-01,.
1968-04-01,.
1968-05-01,107.19258
1968-06-01,.
1968-07-01,.
1968-08-01,107.19258
1968-09-01,.
1968-10-01,.
1968-11-01,106.38051
1968-12-01,.
1969-01-01,.
1969-02-01,113.92111
1969-03-01,.
1969-04-01,.
1969-05-01,106.14849
1969-06-01,.
1969-07-01,.
1969-08-01,100.23202
1969-09-01,.
1969-10-01,.
1969-11-01,92.45940
1969-12-01,.
1970-01-01,.
1970-02-01,90.60325
1970-03-01,.
1970-04-01,.
1970-05-01,87.47100
1970-06-01,.
1970-07-01,.
1970-08-01,90.02320
1970-09-01,.
1970-10-01,.
1970-11-01,83.99072
1970-12-01,.
1971-01-01,.
1971-02-01,90.60325
1971-03-01,.
1971-04-01,.
1971-05-01,93.03944
1971-06-01,.
1971-07-01,.
1971-08-01,95.24362
1971-09-01,.
1971-10-01,.
1971-11-01,95.12761
1971-12-01,.
1972-01-01,.
1972-02-01,107.65661
1972-03-01,.
1972-04-01,.
1972-05-01,102.78422
1972-06-01,.
1972-07-01,.
1972-08-01,110.44084
1972-09-01,.
1972-10-01,.
1972-11-01,105.22042
1972-12-01,.
1973-01-01,.
1973-02-01,95.01160
1973-03-01,.
1973-04-01,.
1973-05-01,89.32715
1973-06-01,.
1973-07-01,.
1973-08-01,83.52668
1973-09-01,.
1973-10-01,.
1973-11-01,88.74710
1973-12-01,.
1974-01-01,.
1974-02-01,71.69374
1974-03-01,.
1974-04-01,.
1974-05-01,83.64269
1974-06-01,.
1974-07-01,.
1974-08-01,74.70998
1974-09-01,.
1974-10-01,.
1974-11-01,69.02552
1974-12-01,.
1975-01-01,.
1975-02-01,66.82135
1975-03-01,.
1975-04-01,.
1975-05-01,84.45476
1975-06-01,.
1975-07-01,.
1975-08-01,87.81903
1975-09-01,.
1975-10-01,.
1975-11-01,87.70302
1975-12-01,.
1976-01-01,.
1976-02-01,98.14385
1976-03-01,.
1976-04-01,.
1976-05-01,96.63573
1976-06-01,.
1976-07-01,.
1976-08-01,104.06032
1976-09-01,.
1976-10-01,.
1976-11-01,100.92807
1976-12-01,.
1977-01-01,.
1977-02-01,101.04408
1977-03-01,.
1977-04-01,.
1977-05-01,104.64037
1977-06-01,.
1977-07-01,.
1977-08-01,103.24826
1977-09-01,.
1977-10-01,.
1977-11-01,97.91183
1977-12-01,.
1978-01-01,97.09977
1978-02-01,97.79582
1978-03-01,91.41531
1978-04-01,94.66357
1978-05-01,96.17169
1978-06-01,92.80742
1978-07-01,95.59165
1978-08-01,90.95128
1978-09-01,93.27146
1978-10-01,91.99536
1978-11-01,87.00696
1978-12-01,76.68213
1979-01-01,83.64269
1979-02-01,85.73086
1979-03-01,79.35035
1979-04-01,76.56613
1979-05-01,79.00232
1979-06-01,76.33411
1979-07-01,70.06961
1979-08-01,74.82599
1979-09-01,77.37819
1979-10-01,72.04176
1979-11-01,73.43387
1979-12-01,70.76566
1980-01-01,77.72622
1980-02-01,77.61021
1980-03-01,65.54524
1980-04-01,61.13689
1980-05-01,59.97680
1980-06-01,68.09745
1980-07-01,72.27378
1980-08-01,78.07425
1980-09-01,85.49884
1980-10-01,87.00696
1980-11-01,88.97912
1980-12-01,74.82599
1981-01-01,82.83063
1981-02-01,77.61021
1981-03-01,77.14617
1981-04-01,83.99072
1981-05-01,88.51508
1981-06-01,84.80278
1981-07-01,85.96288
1981-08-01,89.55916
1981-09-01,84.80278
1981-10-01,81.55452
1981-11-01,72.50580
1981-12-01,74.59397
1982-01-01,82.36659
1982-02-01,77.14617
1982-03-01,71.92575
1982-04-01,75.98608
1982-05-01,78.30626
1982-06-01,76.21810
1982-07-01,75.87007
1982-08-01,75.87007
1982-09-01,80.39443
1982-10-01,85.15081
1982-11-01,83.64269
1982-12-01,83.41067
1983-01-01,81.67053
1983-02-01,86.54292
1983-03-01,93.73550
1983-04-01,103.36427
1983-05-01,108.23666
1983-06-01,106.96056
1983-07-01,107.65661
1983-08-01,105.45244
1983-09-01,104.29234
1983-10-01,103.59629
1983-11-01,105.68445
1983-12-01,109.28074
1984-01-01,116.12529
1984-02-01,112.99304
1984-03-01,117.16937
1984-04-01,111.48492
1984-05-01,113.80510
1984-06-01,110.78886
1984-07-01,112.06497
1984-08-01,114.96520
1984-09-01,117.05336
1984-10-01,111.71694
1984-11-01,111.02088
1984-12-01,107.77262
1985-01-01,111.36891
1985-02-01,108.70070
1985-03-01,108.70070
1985-04-01,109.74478
1985-05-01,106.49652
1985-06-01,111.94896
1985-07-01,109.04872
1985-08-01,107.19258
1985-09-01,106.84455
1985-10-01,102.55220
1985-11-01,105.45244
1985-12-01,108.93271
1986-01-01,110.90487
1986-02-01,111.25290
1986-03-01,110.32483
1986-04-01,111.60093
1986-05-01,109.97680
1986-06-01,115.19722
1986-07-01,113.34107
1986-08-01,110.09281
1986-09-01,106.61253
1986-10-01,110.90487
1986-11-01,106.03248
1986-12-01,103.36427
1987-01-01,104.87239
1987-02-01,104.64037
1987-03-01,105.33643
1987-04-01,107.65661
1987-05-01,105.68445
1987-06-01,106.14849
1987-07-01,108.70070
1987-08-01,109.51276
1987-09-01,108.58469
1987-10-01,103.59629
1987-11-01,96.40371
1987-12-01,100.69606
1988-01-01,105.33643
1988-02-01,106.26450
1988-03-01,109.74478
1988-04-01,105.80046
1988-05-01,109.97680
1988-06-01,109.86079
1988-07-01,108.35267
1988-08-01,112.99304
1988-09-01,112.87703
1988-10-01,109.16473
1988-11-01,107.88863
1988-12-01,106.61253
1989-01-01,113.57309
1989-02-01,110.67285
1989-03-01,109.39675
1989-04-01,106.14849
1989-05-01,105.22042
1989-06-01,105.10441
1989-07-01,106.72854
1989-08-01,103.94432
1989-09-01,111.13689
1989-10-01,108.93271
1989-11-01,105.45244
1989-12-01,104.98840
1990-01-01,107.88863
1990-02-01,103.82831
1990-03-01,105.91647
1990-04-01,108.93271
1990-05-01,105.10441
1990-06-01,102.43619
1990-07-01,102.32019
1990-08-01,88.63109
1990-09-01,84.45476
1990-10-01,74.12993
1990-11-01,76.56613
1990-12-01,75.98608
1991-01-01,77.49420
1991-02-01,81.67053
1991-03-01,101.74014
1991-04-01,94.89559
1991-05-01,90.83527
1991-06-01,95.24362
1991-07-01,96.17169
1991-08-01,95.12761
1991-09-01,96.28770
1991-10-01,90.83527
1991-11-01,80.16241
1991-12-01,79.11833
1992-01-01,78.30626
1992-02-01,79.81439
1992-03-01,88.16705
1992-04-01,89.55916
1992-05-01,91.87935
1992-06-01,93.27146
1992-07-01,88.86311
1992-08-01,88.28306
1992-09-01,87.70302
1992-10-01,85.03480
1992-11-01,98.95592
1992-12-01,105.56845
1993-01-01,103.59629
1993-02-01,100.46404
1993-03-01,99.65197
1993-04-01,99.30394
1993-05-01,93.15545
1993-06-01,94.54756
1993-07-01,89.32715
1993-08-01,89.67517
1993-09-01,90.37123
1993-10-01,95.93968
1993-11-01,94.19954
1993-12-01,102.32019
1994-01-01,109.39675
1994-02-01,108.12065
1994-03-01,106.14849
1994-04-01,107.42459
1994-05-01,107.65661
1994-06-01,105.80046
1994-07-01,103.24826
1994-08-01,106.38051
1994-09-01,106.14849
1994-10-01,107.54060
1994-11-01,106.26450
1994-12-01,110.32483
1995-01-01,113.22506
1995-02-01,110.32483
1995-03-01,104.75638
1995-04-01,107.30858
1995-05-01,104.17633
1995-06-01,107.54060
1995-07-01,109.51276
1995-08-01,111.60093
1995-09-01,103.13225
1995-10-01,104.64037
1995-11-01,102.32019
1995-12-01,105.56845
1996-01-01,103.59629
1996-02-01,102.66821
1996-03-01,108.70070
1996-04-01,107.54060
1996-05-01,103.71230
1996-06-01,107.19258
1996-07-01,109.86079
1996-08-01,110.55684
1996-09-01,109.86079
1996-10-01,111.94896
1996-11-01,115.08121
1996-12-01,112.41299
1997-01-01,112.99304
1997-02-01,115.66125
1997-03-01,116.00928
1997-04-01,117.63341
1997-05-01,119.72158
1997-06-01,121.22970
1997-07-01,124.24594
1997-08-01,121.11369
1997-09-01,122.96984
1997-10-01,122.50580
1997-11-01,124.36195
1997-12-01,118.44548
1998-01-01,123.66589
1998-02-01,128.07425
1998-03-01,123.54988
1998-04-01,126.10209
1998-05-01,123.54988
1998-06-01,122.50580
1998-07-01,122.04176
1998-08-01,121.11369
1998-09-01,117.05336
1998-10-01,112.99304
1998-11-01,119.14153
1998-12-01,116.58933
1999-01-01,120.53364
1999-02-01,125.40603
1999-03-01,122.62181
1999-04-01,121.34571
1999-05-01,123.89791
1999-06-01,124.47796
1999-07-01,122.96984
1999-08-01,121.22970
1999-09-01,124.36195
1999-10-01,119.72158
1999-11-01,124.36195
1999-12-01,122.27378
2000-01-01,129.93039
2000-02-01,129.11833
2000-03-01,124.24594
2000-04-01,126.68213
2000-05-01,128.42227
2000-06-01,123.43387
2000-07-01,125.63805
2000-08-01,124.47796
2000-09-01,123.89791
2000-10-01,122.73782
2000-11-01,124.82599
2000-12-01,114.15313
2001-01-01,109.86079
2001-02-01,105.10441
2001-03-01,106.14849
2001-04-01,102.55220
