DATE,PPIACO_NBD19130101,CPIAUCSL_NBD19470101,PCE_NBD19590101,FRBATLWGT3MMAUMHWGO_NBD19970301,IR_NBD19970301,M2SL_NBD20010101
2015-01-01,1586.77686,1092.86313,3942.07775,66.66667,126.00000,236.44110
2015-02-01,1579.33884,1095.63315,3958.37961,66.66667,125.50000,238.57548
2015-03-01,1582.64463,1098.58473,3977.81771,71.11111,125.30000,238.83273
2015-04-01,1577.68595,1099.72998,3988.59850,73.33333,125.10000,239.62859
2015-05-01,1598.34711,1103.35661,4010.25809,73.33333,126.50000,240.25564
2015-06-01,1609.91736,1106.41061,4020.87553,71.11111,126.60000,241.18215
2015-07-01,1602.47934,1108.16574,4039.49690,68.88889,125.40000,242.17497
2015-08-01,1585.95041,1108.16108,4049.72231,68.88889,123.20000,243.18588
2015-09-01,1562.80992,1105.67039,4046.52074,66.66667,121.90000,244.40179
2015-10-01,1549.58678,1106.76443,4049.29762,64.44444,121.50000,245.20771
2015-11-01,1534.71074,1108.08659,4058.54296,68.88889,120.80000,246.99640
2015-12-01,1516.52893,1106.89479,4067.95165,68.88889,119.30000,248.21834
2016-01-01,1509.09091,1106.38734,4076.44561,68.88889,117.80000,250.81898
2016-02-01,1498.34711,1104.91620,4101.43744,71.11111,117.20000,252.15950
2016-03-01,1504.95868,1108.37989,4095.72035,71.11111,117.70000,253.41761
2016-04-01,1514.04959,1112.62570,4120.05880,75.55556,118.50000,255.09577
2016-05-01,1531.40496,1115.25605,4133.51846,77.77778,119.90000,256.51265
2016-06-01,1550.41322,1118.35196,4159.16367,80.00000,120.70000,257.82704
2016-07-01,1551.23967,1117.78864,4167.49428,75.55556,120.80000,259.05099
2016-08-01,1542.14876,1119.85568,4177.75237,73.33333,120.50000,260.79145
2016-09-01,1544.62810,1122.79330,4196.86377,80.00000,120.60000,262.05559
2016-10-01,1542.97521,1125.42365,4203.52826,86.66667,121.20000,263.46444
2016-11-01,1539.66942,1126.75047,4212.02221,86.66667,121.10000,264.88132
2016-12-01,1555.37190,1129.59497,4248.90559,77.77778,121.60000,265.54053
2017-01-01,1576.03306,1134.16201,4267.78830,71.11111,122.30000,266.96746
2017-02-01,1583.47107,1135.96834,4275.85756,71.11111,122.70000,268.26577
2017-03-01,1582.64463,1135.43762,4292.68213,75.55556,122.50000,269.64447
2017-04-01,1595.04132,1136.83892,4302.25417,77.77778,122.80000,270.86440
2017-05-01,1593.38843,1135.95903,4303.13623,75.55556,122.70000,272.03610
2017-06-01,1600.00000,1136.69926,4320.54884,71.11111,122.40000,272.51442
2017-07-01,1599.17355,1137.07169,4332.99575,73.33333,122.20000,273.80067
2017-08-01,1601.65289,1141.44786,4343.22117,75.55556,122.90000,274.97639
2017-09-01,1609.91736,1147.27654,4383.30611,80.00000,123.90000,275.88882
2017-10-01,1610.74380,1148.16574,4393.17217,75.55556,124.10000,276.97811
2017-11-01,1619.00826,1151.22905,4423.58706,71.11111,125.30000,277.50065
2017-12-01,1622.31405,1153.65456,4464.58674,64.44444,125.50000,278.41309
2018-01-01,1635.53719,1158.56145,4476.73963,66.66667,126.50000,278.58995
2018-02-01,1647.10744,1161.68063,4488.30448,64.44444,126.80000,279.34562
2018-03-01,1647.10744,1161.90410,4506.10911,73.33333,126.50000,280.52334
2018-04-01,1655.37190,1164.93017,4520.87553,73.33333,127.10000,280.97956
2018-05-01,1679.33884,1167.56052,4542.63313,71.11111,128.20000,282.29596
2018-06-01,1687.60331,1168.61266,4550.93107,71.11111,128.20000,283.51991
2018-07-01,1688.42975,1169.52514,4565.43613,73.33333,128.10000,284.28764
2018-08-01,1680.99174,1171.61546,4578.24240,77.77778,127.60000,285.25032
2018-09-01,1682.64463,1174.03166,4579.48383,77.77778,127.70000,285.88138
2018-10-01,1690.90909,1176.77840,4600.81673,82.22222,128.30000,286.08437
2018-11-01,1671.90083,1175.94972,4626.88664,86.66667,126.20000,286.29138
2018-12-01,1661.15702,1176.75512,4590.52597,84.44444,124.40000,288.50815
2019-01-01,1645.45455,1175.79609,4602.54819,84.44444,124.60000,289.75019
2019-02-01,1646.28099,1179.32495,4611.40150,75.55556,125.90000,290.49983
2019-03-01,1659.50413,1183.78492,4652.10715,77.77778,126.60000,291.34996
2019-04-01,1670.24793,1188.23557,4664.58674,80.00000,126.80000,292.03931
2019-05-01,1666.94215,1188.52886,4685.00490,82.22222,127.00000,294.29829
2019-06-01,1655.37190,1188.14246,4701.47011,86.66667,125.60000,296.75021
2019-07-01,1658.67769,1190.88454,4727.80137,86.66667,125.60000,298.39420
2019-08-01,1646.28099,1191.97393,4745.41000,82.22222,124.90000,300.03417
2019-09-01,1639.66942,1193.80819,4755.17805,80.00000,125.00000,301.86506
2019-10-01,1641.32231,1197.18343,4764.45606,77.77778,124.50000,304.57021
2019-11-01,1644.62810,1200.55400,4795.36099,82.22222,124.70000,306.54179
2019-12-01,1644.62810,1204.05028,4815.84450,82.22222,125.00000,307.76976
2020-01-01,1647.10744,1205.33520,4840.15028,84.44444,125.20000,309.11430
2020-02-01,1625.61983,1206.91806,4838.51682,82.22222,124.30000,310.15335
2020-03-01,1595.86777,1201.81564,4506.04378,77.77778,121.30000,320.79908
2020-04-01,1533.05785,1192.39292,3994.87096,73.33333,118.20000,341.33690
2020-05-01,1558.67769,1191.09870,4329.10813,77.77778,119.00000,358.76158
2020-06-01,1580.16529,1196.48045,4582.52205,84.44444,120.60000,364.62809
2020-07-01,1595.04132,1203.01676,4666.80823,86.66667,122.10000,367.65279
2020-08-01,1605.78512,1207.47672,4713.62300,77.77778,123.20000,369.09782
2020-09-01,1615.70248,1210.20019,4787.65109,77.77778,123.40000,373.64391
2020-10-01,1623.96694,1211.58752,4803.16890,77.77778,123.30000,376.70077
2020-11-01,1638.84298,1214.59497,4794.44626,82.22222,123.40000,381.03784
2020-12-01,1657.02479,1219.76257,4835.60928,75.55556,124.60000,383.81132
2021-01-01,1692.56198,1222.15084,4915.81183,75.55556,126.50000,388.34737
2021-02-01,1740.49587,1227.10894,4883.43679,75.55556,128.00000,393.10650
2021-03-01,1776.85950,1233.28678,5115.19111,75.55556,129.90000,397.91989
2021-04-01,1800.82645,1241.86220,5179.38582,71.11111,131.10000,404.46972
2021-05-01,1858.67769,1249.77654,5191.11402,66.66667,132.80000,410.58545
2021-06-01,1891.73554,1260.07449,5262.49592,71.11111,134.20000,411.46170
2021-07-01,1916.11570,1266.26629,5276.31493,82.22222,134.60000,414.51253
2021-08-01,1929.04959,1269.96741,5326.88664,86.66667,134.30000,418.74711
2021-09-01,1947.75207,1275.07914,5357.36687,93.33333,134.90000,421.36182
2021-10-01,1987.31405,1286.93669,5427.57269,91.11111,136.90000,424.99146
2021-11-01,2010.63636,1297.94693,5469.32375,95.55556,137.90000,428.49247
2021-12-01,1994.52893,1307.29981,5488.14113,100.00000,137.40000,432.11005
2022-01-01,2036.80165,1314.66480,5517.34727,113.33333,140.10000,433.27974
2022-02-01,2088.09917,1324.65084,5553.64260,128.88889,142.60000,434.40521
2022-03-01,2148.87603,1338.70112,5620.25482,133.33333,146.80000,436.53958
2022-04-01,2192.64463,1344.33892,5655.17805,133.33333,147.50000,436.56772
2022-05-01,2258.27273,1356.41993,5679.45116,135.55556,148.20000,435.94469
2022-06-01,2316.12397,1373.35196,5733.42045,148.88889,148.50000,435.12270
2022-07-01,2250.19835,1373.26350,5735.51127,148.88889,146.40000,434.97397
2022-08-01,2227.65289,1374.34358,5779.87586,148.88889,144.60000,434.48962
2022-09-01,2214.03306,1379.61359,5816.39987,140.00000,143.10000,432.88583
2022-10-01,2190.58678,1386.69926,5852.69520,142.22222,142.70000,431.52923
2022-11-01,2174.85124,1390.35382,5845.31199,142.22222,141.60000,430.19274
2022-12-01,2131.38017,1391.11732,5862.00588,135.55556,141.80000,428.26738
2023-01-01,2150.63636,1398.30540,5955.43940,135.55556,141.30000,426.53094
2023-02-01,2137.76033,1403.67318,5977.29500,135.55556,141.00000,425.07788
2023-03-01,2124.47934,1404.76723,5972.75400,142.22222,139.90000,420.09767
2023-04-01,2123.20661,1410.76350,5999.28128,135.55556,140.30000,416.92425
2023-05-01,2096.44628,1412.31378,6013.65567,133.33333,139.70000,418.78530
2023-06-01,2098.01653,1415.28399,6039.00686,124.44444,139.40000,418.44163
2023-07-01,2097.80992,1418.19367,6074.94283,126.66667,139.40000,417.89698
2023-08-01,2129.58678,1425.45158,6093.30284,117.77778,140.30000,417.33424
2023-09-01,2139.95041,1430.57728,6139.00686,115.55556,141.00000,416.24093
2023-10-01,2109.02479,1431.70857,6150.53904,115.55556,140.10000,415.85506
2023-11-01,2089.71901,1434.00372,6175.43287,115.55556,139.40000,416.12436
2023-12-01,2065.00826,1437.34637,6211.59752,115.55556,138.40000,417.10714
2024-01-01,2076.90909,1441.73650,6216.26919,111.11111,139.40000,417.11518
2024-02-01,2106.72727,1448.10987,6251.55178,111.11111,139.70000,416.99861
2024-03-01,2108.39669,1453.58473,6293.27017,104.44444,140.50000,418.87775
2024-04-01,2125.23140,1458.13315,6301.82947,.,141.80000,419.44249
2024-05-01,2107.19835,1458.21695,6317.47795,.,141.20000,421.31559
