DATE,GDPDEF_NBD19970101,ECIALLCIV_NBD20010101
2015-01-01,140.19413,145.92680
2015-04-01,140.99964,146.16293
2015-07-01,141.37342,147.10744
2015-10-01,141.37052,147.93388
2016-01-01,141.24737,148.76033
2016-04-01,142.20790,149.58678
2016-07-01,142.57153,150.41322
2016-10-01,143.26114,151.23967
2017-01-01,143.99131,152.18418
2017-04-01,144.36798,153.12869
2017-07-01,145.10974,154.19126
2017-10-01,146.00217,155.13577
2018-01-01,146.93082,156.31641
2018-04-01,147.96958,157.37898
2018-07-01,148.60848,158.55962
2018-10-01,149.24882,159.74026
2019-01-01,149.76458,160.68477
2019-04-01,150.50779,161.74734
2019-07-01,150.97573,162.92798
2019-10-01,151.45382,163.99055
2020-01-01,152.17240,165.28926
2020-04-01,151.55958,166.11570
2020-07-01,152.89823,166.82409
2020-10-01,153.96595,168.24085
2021-01-01,155.98406,169.65762
2021-04-01,158.35567,170.83825
2021-07-01,160.69540,172.96340
2021-10-01,163.48859,174.85242
2022-01-01,166.80188,177.21370
2022-04-01,170.47591,179.57497
2022-07-01,172.34625,181.70012
2022-10-01,173.98479,183.70720
2023-01-01,175.67693,185.83235
2023-04-01,176.40855,187.72137
2023-07-01,177.85150,189.61039
2023-10-01,178.58892,191.38135
2024-01-01,179.95219,193.62456
